License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
403-01840,1-11 LLC,1:11,Medical Marijuana Cultivation,54414 County Road F,Center,CO,81125,2024-09-03,37.820974,-106.012161
403-00164,1022 S ROYER LLC,Hightops,Medical Marijuana Cultivation,1022 South Royer Street,Colorado Springs,CO,80903,2024-09-03,38.8195171,-104.8154896
403-00687,11761013 COLORADO HOLDINGS LLC ,A Cut Above,Medical Marijuana Cultivation,3410 Astrozon Court,Colorado Springs,CO,80910,2024-09-03,38.7902083,-104.7671904
403-01932,132 ENTERPRISES LLC,KLONE,Medical Marijuana Cultivation,322 North Norfolk Street Unit I,Aurora,CO,80011,2024-09-03,39.725483,-104.797924
403-01080,1395 SOUTH ACOMA LLC,,Medical Marijuana Cultivation,1395 South Acoma Street,Denver,CO,80223,2024-09-03,39.6913598,-104.9888029
403-01998,1CURE LLC,,Medical Marijuana Cultivation,7835 Maverick Lane,Ordway,CO,81063,2024-09-03,38.388905,-104.676225
403-01472,2222 E BOULDER STREET LLC,HIGHTOPS,Optional Premises,2222 East Boulder Street,Colorado Springs,CO,80909,2024-09-03,38.8386928,-104.7879422
403-00980,4611 EXPANSION LLC,,Medical Marijuana Cultivation,4655 East 46th Avenue,Denver,CO,80216,2024-09-03,39.7805618,-104.9328597
403-01390,4747 PEARL STREET LLC,Great Ascent Botanicals,Medical Marijuana Cultivation,4747 Pearl Street Unit M1,Boulder,CO,80301,2024-09-03,40.0261546,-105.2418338
403-01401,7415 LLC,,Medical Marijuana Cultivation,7415 Rex Road,Pueblo,CO,81005,2024-09-03,38.255533,-104.65062
403-01613,8058 LLC,Mighty Tree,Medical Marijuana Cultivation,4755 North Lipan Street,Denver,CO,80211,2024-09-03,39.782501,-105.001764
403-00457,ABUNDANT HEALTH DENVER LLC,Herban Underground,Medical Marijuana Cultivation,"70 North Broadway, Suite 50",Denver,CO,80203,2024-09-03,39.717834,-104.987427
403-02014,ACES PLACE LLC,,Medical Marijuana Cultivation,14621 County Road 98,Nunn,CO,80648,2024-09-03,40.6960022,-104.775428
