License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
402-01197,1-11 LLC,one:eleven,Medical Marijuana Store,17034 Highway 17,Moffat,CO,81143,2024-09-03,37.992955,-105.907324
402-00116,1022 S ROYER LLC,Hightops,Medical Marijuana Store,1022 South Royer Street,Colorado Springs,CO,80903,2024-09-03,38.8195171,-104.8154896
402-00455,11761013 COLORADO HOLDINGS LLC,A Cut Above,Medical Marijuana Store,1911 South Broadway,Denver,CO,80210,2024-09-03,39.6818644,-104.987676
402-00017,1617 WAZEE STREET LLC,LoDo Wellness Center,Medical Marijuana Store,"1617 Wazee Street, Unit B",Denver,CO,80202,2024-09-03,39.7516552,-104.9997063
402-00248,2306 N POWERS LLC,Hightops,Medical Marijuana Store,"2306 North Powers Frontage Road, Suite 100",Colorado Springs,CO,80915,2024-09-03,38.863467,-104.720079
402-00618,4 ROSES LLC,Bleezies,Medical Marijuana Store,3234 North Nevada Avenue,Colorado Springs,CO,80907,2024-09-03,38.8781548,-104.8183845
402-00656,543 BRYANT STREET LLC,Snaxland,Medical Marijuana Store,543 Bryant Street,Denver,CO,80204,2024-09-03,39.7243206,-105.0187723
402-01020,8058 LLC,Mighty Tree,Medical Marijuana Store,4755 North Lipan Street,Denver,CO,80211,2024-09-03,39.782501,-105.001764
402-01371,A AND M ENTERPRISES LLC,Backstage Grass,Medical Marijuana Store,117 Greydene Avenue,Canon City,CO,81212,2024-09-03,38.4474049,-105.2109713
402-00306,ABUNDANT HEALTH DENVER LLC,Herban Underground,Medical Marijuana Store,"70 North Broadway, Suite 50",Denver,CO,80203,2024-09-03,39.717834,-104.987427
402-00869,ACADEMY OF THE HEALING ARTS LLC,High Valley Healing Alamosa,Medical Marijuana Store,"0711 West Highway 160, Suite B",Alamosa,CO,81101,2024-09-03,37.467184,-105.867273
402-00929,ACES PLACE LLC,N/A,Medical Marijuana Store,"1101 Academy Court, Unit 4",Fort Collins,CO,80524,2024-09-03,40.5738399,-105.0473852
402-01097,ADAMS GREEN CROSSING LLC,N/A,Medical Marijuana Store,3640 West Colorado Avenue,Colorado Springs,CO,80904,2024-09-03,38.8565542,-104.882175
402-01145,ADAMS GREEN CROSSING LLC,N/A,Medical Marijuana Store,"2727 Palmer Park Boulevard, Suite A",Colorado Springs,CO,80909,2024-09-03,38.8534388,-104.7777338
402-01119,AF INC,Apothecary Farms,Medical Marijuana Store,3049 Delta Drive,Colorado Springs,CO,80910,2024-09-03,38.7951601,-104.77684
402-01330,AF INC,Apothecary Farms,Medical Marijuana Store,414 West Garden of the Gods Road,Colorado Springs,CO,80918,2024-09-03,38.8969784,-104.8275594
402-00375,AF INC,Apothecary Farms,Medical Marijuana Store,2251 South Broadway,Denver,CO,80210,2024-09-03,39.675782,-104.987681
402-00980,AF INC,Apothecary Farms,Medical Marijuana Store,1917 Santa Fe Drive,Pueblo,CO,81006,2024-09-03,38.2499983,-104.6012742
402-00001,ALLGREENS LLC,N/A,Medical Marijuana Store,762 North Kalamath Street,Denver,CO,80204,2024-09-03,39.726481,-105.000169
402-01337,ALPINE ESSENTIALS LLC,Alpine Essentials,Medical Marijuana Store,850 A & B Commercial Lane,Palmer Lake,CO,80133,2024-09-03,39.102477,-104.880434
402-00002,ALTERNATIVE MEDICINE ON CAPITOL HILL LLC ,N/A,Medical Marijuana Store,1301 North Marion Street,Denver,CO,80218,2024-09-03,39.7820388,-104.9711284
402-00913,ALTERNATIVE MEDICINE ON THE MALL LLC,Native Roots Speer,Medical Marijuana Store,500 North Grant Street,Denver,CO,80203,2024-09-03,39.7289875,-104.9836073
402-00953,ANIMAS HERBAL WELLNESS CENTER INC,Prohibition Herb,Medical Marijuana Store,1185 Camino Del Rio,Durango,CO,81301,2024-09-03,37.276761,-107.881718
402-00823,ASCEND II LLC,Ascend Cannabis Co,Medical Marijuana Store,204 East Main Street,Buena Vista,CO,81211,2024-09-03,38.8421753,-106.131853
402-00939,ASCEND II LLC,Ascend Cannabis Co,Medical Marijuana Store,3555 South Yosemite Street,Denver,CO,80237,2024-09-03,39.6518311,-104.885426
402-00978,ASCEND LITTLETON LLC,Ascend Cannabis Co.,Medical Marijuana Store,5231 South Santa Fe Drive,Littleton,CO,80120,2024-09-03,39.6210591,-105.0155912
402-01225,Advanced BTP LLC ,Kind-Meds,Medical Marijuana Store,1001 South Royer Street,Colorado Springs,CO,80903,2024-09-03,38.819708,-104.815339
402-00642,B WELL LLC,Boulder Built,Medical Marijuana Store,"5420 Arapahoe Avenue, Suite F",Boulder,CO,80303,2024-09-03,40.0141938,-105.227272
402-01146,BCC LLC,Bonfire Cannabis Company,Medical Marijuana Store,"4837 North Washington Street, Suite 100",Denver,CO,80216,2024-09-03,39.784231,-104.978374
402-01171,BEST BUDZ LLC,Gemini Cannabis,Medical Marijuana Store,3850 North Nevada Avenue,Colorado Springs,CO,80907,2024-09-03,38.8578695,-104.8205431
402-00401,BEST BUDZ LLC,Best Budz,Medical Marijuana Store,3729 Austin Bluffs Parkway,Colorado Springs,CO,80918,2024-09-03,38.8909467,-104.7589517
402-00902,BEYOND BROADWAY LLC,LivWell,Medical Marijuana Store,432 South Broadway,Denver,CO,80209,2024-09-03,39.7087261,-104.987325
402-00670,BGOOD VENTURES LLC,N/A,Medical Marijuana Store,80 South Pennsylvania Street,Denver,CO,80209,2024-09-03,39.7152517,-104.9812447
402-00930,BIG MOUNTAIN ORGANICS LLC,Floraco,Medical Marijuana Store,2909 North El Paso Street,Colorado Springs,CO,80907,2024-09-03,38.8726066,-104.8127664
402-00976,BIG RIVER BEND LLC,The Trust Cannabis Company,Medical Marijuana Store,"1537 Pearl Street, Suite B",Boulder,CO,80302,2024-09-03,40.0190262,-105.275154
402-00983,BIOMEDS OF COLORADO LLC,Biomeds,Medical Marijuana Store,2301 Rand Avenue,Colorado Springs,CO,80905,2024-09-03,38.79913,-104.801304
402-01170,BISHFLIP LLC,Ripple,Medical Marijuana Store,3615 East Platte Avenue,Colorado Springs,CO,80909,2024-09-03,38.8393304,-104.7615485
402-01079,BK HOLDINGS LLC,The Herbal Center,Medical Marijuana Store,1909 South Broadway,Denver,CO,80210,2024-09-03,39.6818965,-104.987676
402-00941,BK HOLDINGS LLC,The Herbal Center,Medical Marijuana Store,12005 East 37th Avenue,Denver,CO,80239,2024-09-03,39.7681593,-104.8484008
402-00060,BLAZIN OG LLC,N/A,Medical Marijuana Store,4995 North Lima Street,Denver,CO,80239,2024-09-03,39.790281,-104.856718
402-00125,BLUEGRASS WELLNESS INC,Briargate Wellness Center,Medical Marijuana Store,"890 Dublin Boulevard, Suite C",Colorado Springs,CO,80918,2024-09-03,38.9258679,-104.8105933
402-00216,BOBBY BROWN BEST BUDS LLC,Bobby Brown Best Buds,Medical Marijuana Store,506 South Nevada Avenue,Colorado Springs,CO,80903,2024-09-03,38.826628,-104.821842
