Name,Street,City,State,Zip,Type,Latitude,Longitude
Ace’s Place,1101 Academy Ct Unit 4,Fort Collins,CO,80524,Undisclosed,40.5738399,-105.0473852
Acme Healing Center,1644 County Road 203,Durango,CO,81301,Undisclosed,37.3219931,-107.8517289
Affinity Dispensary,7739 E Colfax Ave,Denver,CO,80220,Undisclosed,39.7402361,-104.8982617
Ajoya,11950 W Colfax Ave,Lakewood,CO,80215,Undisclosed,39.7400564,-105.1323528
Ajoya,1100 W Dillon Rd Unit 3,Louisville,CO,80027,Undisclosed,39.9615569,-105.1661786
Alpenglow Botanicals,765 W Anemone Trail,Dillion,CO,80435,Recreational,39.589598,-106.008068
Altitude the Dispensary,6858 E Evans Ave,Denver,CO,80224,Undisclosed,39.6783736,-104.9087922
Altitude Organic Cannabis Dispensary,817 Little Beaver Trail,Dillon,CO,80435,Recreational,39.6302988,-106.0598898
Altitude Organic Medicine,3840 N Nevada Ave,Colorado Springs,CO,80907,Medical,38.8880004,-104.8191087
Altitude Organic Medicine,2354 E Platte Ave,Colorado Springs,CO,80909,Medical,38.8376981,-104.7844841
Altitude Organic Medicine,523 S Tejon St,Colorado Springs,CO,80903,Undisclosed,38.8264775,-104.8237992
Altitude Organic Medicine,6755 N Academy Blvd,Colorado Springs,CO,80918,Undisclosed,38.9291852,-104.7930105
The Annie’s - a Strainwise Dispensary,135 Nevada St,Black Hawk,CO,80452,Undisclosed,39.799123,-105.513133
Apothecary Farms,3049 Delta Dr,Colorado Springs,CO,80910,Medical,38.7951601,-104.77684
Apothecary Farms,2251 S Broadway,Denver,CO,80210,Undisclosed,39.675782,-104.987681
Apothecary Farms,1917 Santa Fe Dr,Pueblo,CO,81006,Undisclosed,38.2499983,-104.6012742
The Apotheke,2582 S Academy Blvd,Colorado Springs,CO,80916,Medical,38.7943803,-104.7580535
Aroma Dispensary,5433 Quebec St,Commerce City,CO,80022,Recreational,39.795792,-104.903656
Ascend Cannabis Company,3555 S Yosemite St,Denver,CO,80237,Undisclosed,39.6518311,-104.885426
Ascend Cannabis Company,5231 S Santa Fe Dr Unit 100,Littleton,CO,80120,Undisclosed,39.6210591,-105.0155912
Ascend Cannabis Company,10712 W Alameda Ave,Lakewood,CO,80226,Undisclosed,39.7106571,-105.1181927
Backcountry Cannabis,329 Belleview Ave Unit,Crested Butte,CO,81224,Recreational,38.867113,-106.985374
Ballpark Holistic Dispensary,2119 Larimer St,Denver,CO,80205,Undisclosed,39.7541696,-104.991163
Beleaf Wellness Center,327 Main St,San Luis,CO,81152,Recreational,37.2002666,-105.425927
Berkeley Dispensary,5398 Sheridan Blvd,Arvada,CO,80002,Undisclosed,39.799578,-105.0531965
Best Budz,3729 Austin Bluffs Pkwy,Colorado Springs,CO,80918,Undisclosed,38.8909467,-104.7589517
Best Colorado Cannabis,4800 N Lamar St,Wheat Ridge,CO,80033,Undisclosed,39.784307,-105.067339
Best Day Ever,520 E Cooper Ave Unit 202,Aspen,CO,81611,Undisclosed,39.1880743,-106.8180898
