License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
404-00341,2306 N POWERS LLC,Hightops,Medical Marijuana Products Mfg,"2306 North Powers Frontage Road, Suite 100",Colorado Springs,CO,80915,2024-09-03,38.863467,-104.720079
404-00538,81082 LLC,Colorado Cannabis Exchange II,Medical Marijuana Products Mfg,123 Pine Street,Trinidad,CO,81082,2024-09-03,37.1730063,-104.509181
404-00650,ACES PLACE LLC,Green Rooster Concentrates,Medical Marijuana Products Mfg,14621 County Road 98,Nunn,CO,80648,2024-09-03,40.6960022,-104.775428
404-00510,ADAMS GREEN CROSSING LLC,,Medical Marijuana Products Mfg,"2727 Palmer Park Boulevard, Suite A",Colorado Springs,CO,80909,2024-09-03,38.8534388,-104.7777338
404-00498,AF INC,Apothecary Extracts,Medical Marijuana Products Mfg,3049 Delta Drive,Colorado Springs,CO,80910,2024-09-03,38.7951601,-104.77684
404-00629,AF INC,Apothecary Extracts,Medical Marijuana Products Mfg,65 Precision Drive,Pueblo West,CO,81007,2024-09-03,38.335082,-104.727394
404-00493,ALLGREENS LLC,,Medical Marijuana Products Mfg,1235 South Huron Street,Denver,CO,80223,2024-09-03,39.6942073,-104.9969316
404-00472,AVICENNA PRODUCTS LLC,High Tech Concentrates,Medical Marijuana Products Mfg,3950 North Grape Street,Denver,CO,80207,2024-09-03,39.772075,-104.92454
404-00454,AVICENNA PRODUCTS LLC,High Tech Concentrates,Medical Marijuana Products Mfg,1822 South Bannock Street,Denver,CO,80223,2024-09-03,39.6835214,-104.9896395
404-00621,AVICENNA PRODUCTS LLC,High Tech Concentrates,Medical Marijuana Products Mfg,35715 US Highway 40 Building D Unit 106,Evergreen,CO,80439,2024-09-03,39.741408,-105.431886
404-00501,BD EXTRACTIONS LLC,Dabs Labs,Medical Marijuana Products Mfg,"128 Maine Street, Building A",Log Lane Village,CO,80705,2024-09-03,40.269166,-103.83202
404-00155,BEYOND BROADWAY LLC,Infusiasm,Medical Marijuana Products Mfg,5141 North National Western Drive,Denver,CO,80216,2024-09-03,39.7880985,-104.9687887
404-00824,BIG MOUNTAIN ORGANICS LLC,Floraco,Medical Marijuana Products Mfg,2901 North El Paso Street,Colorado Springs,CO,80907,2024-09-03,38.8723557,-104.8125986
404-00423,BIG TOP LLC,,Medical Marijuana Products Mfg,1952 South Acoma Street,Denver,CO,80223,2024-09-03,39.6808661,-104.9885794
404-00555,BK HOLDINGS LLC,The Herbal Center,Medical Marijuana Products Mfg,12001 East 37th Avenue,Denver,CO,80239,2024-09-03,39.768162,-104.848436
404-00504,BLANK CHECK LLC,Blank Check LLC ,Medical Marijuana Products Mfg,1507 Dustry Drive,Colorado Springs,CO,80905,2024-09-03,38.7993234,-104.8004959
404-00323,BLUE COTTAGE LLC,Mary Jane's Medicinals,Medical Marijuana Products Mfg,1510 Grand Avenue,Norwood,CO,81423,2024-09-03,38.130659,-108.2912399
404-00204,BOULDER MANUFACTURING LLC,,Medical Marijuana Products Mfg,"5575 Arapahoe Avenue, Units B & C, ",Boulder,CO,80303,2024-09-03,40.014776,-105.223357
404-00180,BOULDER SWEET GRASS LLC,Sweet Mary Jane,Medical Marijuana Products Mfg,"1700 North 55th Street, Unit C",Boulder,CO,80301,2024-09-03,40.0871197,-105.2337414
404-00899,BUD FOX ENTERPRISES LLC,Bud Fox Enterprises,Medical Marijuana Products Mfg,14896 East 38th Avenue,Aurora,CO,80011,2024-09-03,39.7684311,-104.8147025
404-00529,BUKU LOUD LLC,Buku Loud,Medical Marijuana Products Mfg,3079 South Academy Boulevard,Colorado Springs,CO,80916,2024-09-03,38.7877016,-104.7547023
404-00644,CANNA CLUB LLC,Best Buds,Medical Marijuana Products Mfg,"11900 East 33rd Avenue, Suite 2",Aurora,CO,80010,2024-09-03,39.7632007,-104.8495745
404-00280,CANNXTRACTS LLC,,Medical Marijuana Products Mfg,6185 Arapahoe Road Unit D,Boulder,CO,80303,2024-09-03,40.015524,-105.2092685
404-00580,CANYON LLC,,Infused Product Manufacturer,678 North Bryant Street,Denver,CO,80204,2024-09-03,39.726066,-105.018604
404-00901,CB CO MANUFACTURING LLC,,Medical Marijuana Products Mfg,9690 Dallas Street Unit A,Commerce City,CO,80640,2024-09-03,39.8733532,-104.8760393
404-00302,CC BRANDS LLC,Cheeba Chews,Medical Marijuana Products Mfg,4945 North Pearl Street,Denver,CO,80216,2024-09-03,39.786596,-104.980102
404-00549,CG INDUSTRY LLC,CG LABS,Medical Marijuana Products Mfg,"4902 East Smith Road, Unit A",Denver,CO,80216,2024-09-03,39.7762078,-104.9371257
404-00665,CHECKER SIX LLC,TS Labs,Medical Marijuana Products Mfg,1120 North Yuma Court,Denver,CO,80204,2024-09-03,39.734083,-105.014922
404-00682,CIELO VERDE LLC,Outer Other ,Medical Marijuana Products Mfg,1225 Blue Spruce Drive Unit P,Fort Collins,CO,80524,2024-09-03,40.6032491,-105.0719132
404-00030,CLEARVIEW INDUSTRIES LLC,,Medical Marijuana Products Mfg,2145 West Evans Avenue,Denver,CO,80223,2024-09-03,39.6787434,-105.0126503
404-00340,CLIINTEL CAPITAL GROUP LLC ,Clear Colorado Group,Medical Marijuana Products Mfg,"5156 North Clarkson Street, Building 2",Denver,CO,80216,2024-09-03,39.787628,-104.94064
404-00635,COLD BAKED LLC,Concentrate Distribution Center,Medical Marijuana Products Mfg,920 East Spaulding Avenue,Pueblo West,CO,81007,2024-09-03,38.320934,-104.704879
404-00451,COLORADO BLUEGRASS LLC,juxt.flora,Medical Marijuana Products Mfg,3228 East Platte Avenue,Colorado Springs,CO,80909,2024-09-03,38.840389,-104.7683213
404-00591,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,Medical Marijuana Products Mfg,4571 North Ivy Street,Denver,CO,80216,2024-09-03,39.77986,-104.920111
