License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
406NP-00011,ABCDELIVERY LLC,Better Days Delivery,MMJ Transporter- NP,1965 Kingston Street,Aurora,CO,80010,2024-09-03,39.7468712,-104.8590276
406-00012,GOGI CANNABIS DELIVERY LLC,GOGI,MMJ Transporter,1520 Iris Street,Lakewood,CO,80215,2024-09-03,39.7413599,-105.106391
406-00005,GPS TRANSPORTATION LLC,Green Parcel Service,MMJ Transporter,2186 South Jason Street,Denver,CO,80223,2024-09-03,39.6769774,-104.9993532
406NP-00013,GREEN BIRD LLC,GREEN BIRD,MMJ Transporter- NP,6757 East Exposition Avenue,Denver,CO,80224,2024-09-03,39.7038731,-104.9092277
406-00007,INDYSPENSABLE WHOLESALE DISTRIBUTORS CORP,IDY Distributors,MMJ Transporter,1332 South Cherokee Street ,Denver,CO,80223,2024-09-03,39.6922509,-104.9909014
406-00008,SPECIALTY TRANSPORT SERVICES LLC,Cannabis Transport Services,MMJ Transporter,"4335 Race Street, Suite 100 & 101",Denver,CO,80216,2024-09-03,39.7770107,-104.9638101
406NP-00006,SUN-UP DELIVERY LLC,Sun-Up Delivery,MMJ Transporter- NP,33861 Skyline Drive ,Golden,CO,80403,2024-09-03,39.88264,-105.38603
406RNP-00015,ABCDELIVERY LLC,Better Days Delivery,RMJ Transporter- NP,1965 Kingston Street,Aurora,CO,80010,2024-09-03,39.7468712,-104.8590276
406RNP-00028,BLAZE TO GO DELIVERY SERVICE LLC,,RMJ Transporter- NP,1111 North Broadway Street  Unit 303,Denver,CO,80203,2024-09-03,39.734011,-104.987338
406RNP-00027,CANNA-COURIERS LLC,CANNA-COURIERS,RMJ Transporter- NP,824 Pintail Avenue,Brighton,CO,80601,2024-09-03,39.9731646,-104.8338616
406RNP-00047,ELEVATION DELIVERY LLC,,RMJ Transporter- NP,2076 South Yates Street ,Denver ,CO,80219,2024-09-03,39.6797315,-105.0508268
406RNP-00029,GO HARVEST LLC,,RMJ Transporter- NP,1178 South Kalamath Street ,Denver,CO,80223,2024-09-03,39.6953391,-105.0002192
406R-00022,GOGI CANNABIS DELIVERY LLC,GOGI,RMJ Transporter,1520 Iris Street,Lakewood,CO,80215,2024-09-03,39.7413599,-105.106391
406R-00008,GPS TRANSPORTATION LLC,Green Parcel Service,RMJ Transporter,2186 South Jason Street,Denver,CO,80223,2024-09-03,39.6769774,-104.9993532
406RNP-00032,HIGH POINT LTD,,RMJ Transporter- NP,18275 East 52nd Place,Denver,CO,80249,2024-09-03,39.7919821,-104.7752234
406RNP-00048,HIGHLY POSITIVE CANNABIS LLC,Highly Positive Cannabis,RMJ Transporter- NP,3145 West 97th Avenue Unit 305,Westminster,CO,80031,2024-09-03,39.872861,-105.0275594
406R-00011,INDYSPENSABLE WHOLESALE DISTRIBUTORS CORP,IDY Distributors,RMJ Transporter,1332 South Cherokee Street ,Denver,CO,80223,2024-09-03,39.6922509,-104.9909014
406RNP-00006,MIKELL GROUP LLC,Emerald Transport,RMJ Transporter- NP,8872 Falcon Nest Court,Colorado Springs,CO,80908,2024-09-03,39.012754,-104.748178
406RNP-00046,NATURE'S TRANSPORT SERVICE LLC,,RMJ Transporter- NP,8860 Westminster Boulevard Apartment 215,Westminster,CO,80031,2024-09-03,39.8569389,-105.0595023
406RNP-00014,SHW LOGISTICS LLC,High Demand Delivery,RMJ Transporter- NP,4275 South Hailfax Way,Aurora,CO,80013,2024-09-03,39.639036,-104.755332
406R-00012,SPECIALTY TRANSPORT SERVICES LLC,Cannabis Transport Services,RMJ Transporter,"4335 Race Street, Suites 100 & 101",Denver,CO,80216,2024-09-03,39.776908,-104.963554
406RNP-00034,SPEEDY TRANSPORTER LLC,,RMJ Transporter- NP,9856 East 27th Drive,Denver,CO,80238,2024-09-03,39.7560435,-104.8731603
406RNP-00013,SUN-UP DELIVERY LLC,Sun-Up Delivery,RMJ Transporter- NP,33861 Skyline Drive,Golden,CO,80403,2024-09-03,39.88264,-105.38603
406RNP-00033,WOOSIEGIRL LLC,Buzz Delivery,RMJ Transporter- NP,8445 Eldora Way,Arvada ,CO,80007,2024-09-03,39.65719,-104.782358
